family,k,new,reference,metric,users,difference,ci_low,ci_high
reference,30,BASE__RIDGE,ALS,pa,68,-0.0667882110193294,-0.21160781809813914,0.0786505937856081
reference,30,SUPPORT__RIDGE,ALS,mse,113,0.21142047187563676,-0.05394580246957627,0.5126010368509638
reference,30,SUPPORT__RIDGE,ALS,pa,68,-0.07303805457917172,-0.21540202041091217,0.06914073447696638
reference,30,CROWD_ITEM__RIDGE,ALS,mse,113,0.17529255376054143,-0.07143379807961386,0.49327793881221343
reference,30,CROWD_ITEM__RIDGE,ALS,pa,68,-0.02849432040102296,-0.15721043426298206,0.09773185522220651
reference,30,CROWD_RESPONSE__RIDGE,ALS,mse,113,0.22616718062195035,-0.04436574658436361,0.6297619284555931
reference,30,CROWD_RESPONSE__RIDGE,ALS,pa,68,-0.06482499486542846,-0.20942481476909441,0.07876365623429979
reference,30,BASE__GBT,ALS,mse,113,0.07613214248930862,-0.15584378696793041,0.3566845545454587
reference,30,BASE__GBT,ALS,pa,68,-0.035654190532368034,-0.16533298411292907,0.0979192846811536
reference,30,SUPPORT__GBT,ALS,mse,113,0.10574708770167192,-0.13654492614485994,0.36754679125704176
reference,30,SUPPORT__GBT,ALS,pa,68,-0.06312973347380098,-0.2256298486527467,0.1069477479823922
reference,30,CROWD_ITEM__GBT,ALS,mse,113,0.08845824430351389,-0.0959807874887748,0.3388158047995666
reference,30,CROWD_ITEM__GBT,ALS,pa,68,0.016318511035184804,-0.1251555251422922,0.15897699885207725
reference,30,CROWD_RESPONSE__GBT,ALS,mse,113,0.07875735395468791,-0.12288461231723548,0.33764482996090434
reference,30,CROWD_RESPONSE__GBT,ALS,pa,68,0.04845824575653316,-0.059815011117785505,0.180647150803459
