k,method,activity,support,metric,users,mean,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,BASE__RIDGE,300_PLUS,50_PLUS,als_mae,65,0.8380088815501551,65,65,216,216,159,159,442,442,599,599,DESCRIPTIVE
1,BASE__RIDGE,300_PLUS,50_PLUS,als_order,40,0.5727453102453103,65,40,216,191,159,150,442,442,599,599,DESCRIPTIVE
1,BASE__GBT,0,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,50_PLUS,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,50_PLUS,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,50_PLUS,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,0,50_PLUS,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,1_9,50_PLUS,mse,1,0.7694334530770162,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,BASE__GBT,1_9,50_PLUS,pa,1,0.6285714285714286,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,BASE__GBT,1_9,50_PLUS,als_mae,1,0.49061066081852106,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,BASE__GBT,1_9,50_PLUS,als_order,1,0.6857142857142857,1,1,21,21,21,21,140,140,210,210,DESCRIPTIVE_SMALL_N
1,BASE__GBT,10_29,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,10_29,50_PLUS,mse,2,0.6145894219334678,2,2,4,4,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,BASE__GBT,10_29,50_PLUS,pa,1,0.6666666666666666,2,1,4,3,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,BASE__GBT,10_29,50_PLUS,als_mae,2,0.4330520819567888,2,2,4,4,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,BASE__GBT,10_29,50_PLUS,als_order,1,0.3333333333333333,2,1,4,3,3,3,3,3,3,3,DESCRIPTIVE_SMALL_N
1,BASE__GBT,30_99,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__GBT,30_99,50_PLUS,mse,18,1.0054108972632774,18,18,55,55,45,45,122,122,150,150,DESCRIPTIVE_SMALL_N
1,BASE__GBT,30_99,50_PLUS,pa,10,0.7021621621621621,18,10,55,47,45,42,122,122,150,150,DESCRIPTIVE_SMALL_N
1,BASE__GBT,30_99,50_PLUS,als_mae,18,0.7246688178176837,18,18,55,55,45,45,122,122,150,150,DESCRIPTIVE_SMALL_N
1,BASE__GBT,30_99,50_PLUS,als_order,10,0.5576373626373626,18,10,55,47,45,42,122,122,150,150,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,1_9,mse,5,0.9442930080170852,5,5,6,6,6,6,0,0,1,1,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,1_9,pa,0,,5,0,6,0,6,0,0,0,1,0,NO_DATA
1,BASE__GBT,100_299,1_9,als_mae,5,0.855529273987609,5,5,6,6,6,6,0,0,1,1,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,1_9,als_order,1,1.0,5,1,6,2,6,2,0,0,1,1,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,10_49,mse,6,0.5657200846865021,6,6,6,6,6,6,0,0,0,0,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,10_49,pa,0,,6,0,6,0,6,0,0,0,0,0,NO_DATA
1,BASE__GBT,100_299,10_49,als_mae,6,0.8551311202405403,6,6,6,6,6,6,0,0,0,0,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,10_49,als_order,0,,6,0,6,0,6,0,0,0,0,0,NO_DATA
1,BASE__GBT,100_299,50_PLUS,mse,24,0.659398772060884,24,24,73,73,64,64,266,266,342,342,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,50_PLUS,pa,10,0.5750808457711443,24,10,73,57,64,51,266,266,342,340,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,50_PLUS,als_mae,24,0.6508792413743937,24,24,73,73,64,64,266,266,342,342,DESCRIPTIVE_SMALL_N
1,BASE__GBT,100_299,50_PLUS,als_order,12,0.6454678362573099,24,12,73,61,64,55,266,266,342,342,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,1_9,mse,25,0.8025486398208502,25,25,55,55,49,49,125,125,153,153,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,1_9,pa,8,0.3875,25,8,55,38,49,37,125,125,153,153,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,1_9,als_mae,25,1.2459321764679046,25,25,55,55,49,49,125,125,153,153,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,1_9,als_order,8,0.7122761497761498,25,8,55,38,49,37,125,125,153,153,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,10_49,mse,29,0.9264511801014592,29,29,46,46,37,37,23,23,30,30,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,10_49,pa,7,0.7214285714285714,29,7,46,22,37,20,23,23,30,28,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,10_49,als_mae,29,0.8938470705210309,29,29,46,46,37,37,23,23,30,30,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,10_49,als_order,9,0.5888888888888889,29,9,46,26,37,24,23,23,30,30,DESCRIPTIVE_SMALL_N
1,BASE__GBT,300_PLUS,50_PLUS,mse,65,0.8020642720854663,65,65,216,216,159,159,442,442,599,599,DESCRIPTIVE
1,BASE__GBT,300_PLUS,50_PLUS,pa,33,0.6463426791640619,65,33,216,174,159,140,442,442,599,585,DESCRIPTIVE
1,BASE__GBT,300_PLUS,50_PLUS,als_mae,65,0.8735560295410046,65,65,216,216,159,159,442,442,599,599,DESCRIPTIVE
1,BASE__GBT,300_PLUS,50_PLUS,als_order,40,0.5272465728715728,65,40,216,191,159,150,442,442,599,599,DESCRIPTIVE
1,BASE__FM,0,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,1_9,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,10_49,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,10_49,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,10_49,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,10_49,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,50_PLUS,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,50_PLUS,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,50_PLUS,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,0,50_PLUS,als_order,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,1_9,1_9,mse,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,1_9,1_9,pa,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
1,BASE__FM,1_9,1_9,als_mae,0,,0,0,0,0,0,0,0,0,0,0,NO_DATA
