k,method,cohort,metric,users,mean,ci95_low,ci95_high,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,CROWD_ITEM__RIDGE,common_k30,als_order,74,0.6967797494335696,0.6260111942409947,0.7642798353477022,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,mse,118,0.7460167348573138,0.5974243130170939,0.9126371906010643,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,mae,118,0.6650569045223821,0.5933671397586398,0.7390533809690112,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,pa,72,0.6664492405646573,0.5853959158004489,0.7444039288943212,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,als_mae,118,0.8338046852814731,0.7324213893773085,0.9404243278603163,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,als_order,78,0.6940057258598027,0.6202513270960096,0.7635152608578106,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__FM,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,mse,113,0.755073830712686,0.6010205482993374,0.9304146659200044,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,mae,113,0.6679449741179722,0.5940530523779419,0.7475743912736718,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,pa,68,0.6601456011207482,0.5741126913566317,0.7408639365501373,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,als_mae,113,0.8402331445322576,0.7340592190392868,0.9519866401462691,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,als_order,74,0.7050073223670249,0.6309639131993764,0.7748316267062041,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__FM,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,mse,118,0.7787106072461771,0.6111961811463564,0.9712194331240211,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,mae,118,0.6677940140177442,0.5896947711615614,0.7486712652126042,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,pa,72,0.7088737769385861,0.6319176435713195,0.7810577445823813,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,als_mae,118,0.8470861076340566,0.7484595415718969,0.9495891550617092,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,als_order,78,0.7021097903667555,0.6239161789387166,0.7746545354731759,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,mse,113,0.785121694204666,0.6119520993945032,0.9863643705870209,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,mae,113,0.6680567361333922,0.5883507519102066,0.7528826324944682,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,pa,68,0.7002687796903423,0.6196139439985713,0.7762940169375925,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,als_mae,113,0.8544198823239232,0.7505690117564583,0.9610918080767373,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,als_order,74,0.7194696503351,0.6424270510625311,0.7923810627364549,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__GBT,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,mse,118,0.8669141625861871,0.677756711153945,1.0880040677573908,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,mae,118,0.7137355066342915,0.6305356362391241,0.801371724047109,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,pa,72,0.6152222928013372,0.5307280771668075,0.6984862491338427,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,als_mae,118,0.8611271345778821,0.7549718788338079,0.974153322224802,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,als_order,78,0.67177148157627,0.5981053689918286,0.7402339230927933,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,mse,113,0.8739073000161046,0.677971968257053,1.1052241564999619,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,mae,113,0.7158756143856615,0.6309487559181979,0.8079665669191778,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,pa,68,0.6159193090912385,0.528212580938742,0.7002309305711054,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,als_mae,113,0.8717330888236647,0.7604163816642754,0.9872464775171179,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,als_order,74,0.6730126684825806,0.5983930115987248,0.7440579515334415,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_RESPONSE__RIDGE,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,mse,118,0.8038093248531315,0.6440405169890602,0.9787177244242283,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,mae,118,0.6794894168654841,0.602898692958589,0.7583862303731165,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,pa,72,0.590820904037957,0.5140544045770661,0.6659710652994898,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,als_mae,118,0.8114352951732466,0.7159341390090838,0.9119963263638153,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,als_order,78,0.58190100080844,0.5085138763728877,0.6540681303818535,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__FM,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__FM,common_k30,mse,113,0.8101257631152666,0.6451155663998682,0.9912791637607908,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__FM,common_k30,mae,113,0.679551522994176,0.6008087612794615,0.7623118347110315,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__FM,common_k30,pa,68,0.578959762071936,0.49931588115732267,0.6574023969802211,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
