level,cohort,method,k,support,metric,users,observed_pairs_all_group_users,mean,status
100,eligible_k,FM,5,10_49,mse,117,870,0.8059313739706693,DESCRIPTIVE
100,eligible_k,FM,5,10_49,pa,90,870,0.5614559481234559,DESCRIPTIVE
100,eligible_k,FM,5,1_9,mse,88,740,0.9294299855288702,DESCRIPTIVE
100,eligible_k,FM,5,1_9,pa,53,740,0.5448326489161628,DESCRIPTIVE
100,eligible_k,FM,5,50_PLUS,mse,180,3473,0.7112019121111015,DESCRIPTIVE
100,eligible_k,FM,5,50_PLUS,pa,156,3473,0.5645847602885323,DESCRIPTIVE
100,eligible_k,FM,10,0,mse,95,605,0.7123794743159948,DESCRIPTIVE
100,eligible_k,FM,10,0,pa,61,605,0.6011996231772789,DESCRIPTIVE
100,eligible_k,FM,10,10_49,mse,117,870,0.8018985736599203,DESCRIPTIVE
100,eligible_k,FM,10,10_49,pa,90,870,0.55769698452964,DESCRIPTIVE
100,eligible_k,FM,10,1_9,mse,88,740,0.8942829557917643,DESCRIPTIVE
100,eligible_k,FM,10,1_9,pa,53,740,0.5650546836032148,DESCRIPTIVE
100,eligible_k,FM,10,50_PLUS,mse,180,3473,0.6835544418353943,DESCRIPTIVE
100,eligible_k,FM,10,50_PLUS,pa,156,3473,0.5767891513969312,DESCRIPTIVE
100,eligible_k,FM,30,0,mse,95,605,0.6963766386541839,DESCRIPTIVE
100,eligible_k,FM,30,0,pa,61,605,0.5970414433735957,DESCRIPTIVE
100,eligible_k,FM,30,10_49,mse,117,870,0.7736632230904495,DESCRIPTIVE
100,eligible_k,FM,30,10_49,pa,90,870,0.5554696251376269,DESCRIPTIVE
100,eligible_k,FM,30,1_9,mse,88,740,0.8609246045673126,DESCRIPTIVE
100,eligible_k,FM,30,1_9,pa,53,740,0.5918276197865111,DESCRIPTIVE
100,eligible_k,FM,30,50_PLUS,mse,177,3407,0.6364257389834674,DESCRIPTIVE
100,eligible_k,FM,30,50_PLUS,pa,153,3407,0.5850335314356968,DESCRIPTIVE
