level,method,k,cohort,metric,users,mean,ci95_low,ci95_high,status
25,FM,1,eligible_k,mae,187,0.7123834876385915,0.6664993540839593,0.7607791373505195,DESCRIPTIVE_CI
25,FM,1,eligible_k,pa,171,0.5406375857365748,0.5069043522583417,0.5734046591495316,DESCRIPTIVE_CI
25,FM,1,eligible_k,als_direct,187,0.8388426545491552,0.8009323380644697,0.8744587882370438,DESCRIPTIVE_CI
25,FM,1,eligible_k,actual_movie_support,187,0.8797538388426925,0.8534772795768318,0.9038548196193715,DESCRIPTIVE_CI
25,FM,1,eligible_k,prediction_outside_scale,187,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,1,common_k30,mse,183,0.8458584301706455,0.742395834632369,0.9678419303265055,DESCRIPTIVE_CI
25,FM,1,common_k30,mae,183,0.7137563687460744,0.6669710760535054,0.7654180250660634,DESCRIPTIVE_CI
25,FM,1,common_k30,pa,167,0.5422374171460199,0.5071932351388972,0.5762669488963048,DESCRIPTIVE_CI
25,FM,1,common_k30,als_direct,183,0.8353200896212678,0.7971538397931226,0.8715440223104914,DESCRIPTIVE_CI
25,FM,1,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,1,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,5,eligible_k,mse,186,0.7778347620917648,0.6867551145218289,0.880182712163122,DESCRIPTIVE_CI
25,FM,5,eligible_k,mae,186,0.6861092308124994,0.6431116468846085,0.7326235445473136,DESCRIPTIVE_CI
25,FM,5,eligible_k,pa,170,0.5411833201110207,0.5060528576608985,0.574916504138428,DESCRIPTIVE_CI
25,FM,5,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,FM,5,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,FM,5,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,5,common_k30,mse,183,0.7829339716173181,0.6908155417534202,0.8893618735546007,DESCRIPTIVE_CI
25,FM,5,common_k30,mae,183,0.6877104674026684,0.6442296880130742,0.7364231388579733,DESCRIPTIVE_CI
25,FM,5,common_k30,pa,167,0.5447297856292413,0.5106195055988056,0.5785445174229588,DESCRIPTIVE_CI
25,FM,5,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,5,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,5,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,10,eligible_k,mse,186,0.7512671958085188,0.6622069584876491,0.8495036274644755,DESCRIPTIVE_CI
25,FM,10,eligible_k,mae,186,0.6686799688146668,0.6257972039251494,0.7144535204657141,DESCRIPTIVE_CI
25,FM,10,eligible_k,pa,170,0.5485985607464033,0.5147392693945048,0.5812673305802125,DESCRIPTIVE_CI
25,FM,10,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,FM,10,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,FM,10,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,10,common_k30,mse,183,0.7558912611615121,0.6664335316091085,0.8587749897312991,DESCRIPTIVE_CI
25,FM,10,common_k30,mae,183,0.6705077523822179,0.6270336377902279,0.7187034134970743,DESCRIPTIVE_CI
25,FM,10,common_k30,pa,167,0.5480738052003515,0.5144152616900174,0.581578478340463,DESCRIPTIVE_CI
25,FM,10,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,10,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,10,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,30,eligible_k,mse,183,0.7115796847028303,0.6292676073104951,0.8045162736733437,DESCRIPTIVE_CI
25,FM,30,eligible_k,mae,183,0.6509492156381785,0.6097605233293018,0.6957051221540014,DESCRIPTIVE_CI
25,FM,30,eligible_k,pa,167,0.5544723958644165,0.5201483935486927,0.588294159680455,DESCRIPTIVE_CI
25,FM,30,eligible_k,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,30,eligible_k,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,30,eligible_k,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,30,common_k30,mse,183,0.7115796847028303,0.6292676073104951,0.8045162736733437,DESCRIPTIVE_CI
25,FM,30,common_k30,mae,183,0.6509492156381785,0.6097605233293018,0.6957051221540014,DESCRIPTIVE_CI
25,FM,30,common_k30,pa,167,0.5544723958644165,0.5201483935486927,0.588294159680455,DESCRIPTIVE_CI
25,FM,30,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,30,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,30,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,mse,271,0.9035048696855299,0.8148795152718814,1.0037971115608297,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,mae,271,0.7424728124270572,0.7057383215623735,0.781620139392106,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,pa,255,0.5543286268062437,0.5307866137036734,0.5772735075227786,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,als_direct,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,actual_movie_support,271,0.9112590938189224,0.8922969732891535,0.928605862140413,DESCRIPTIVE_CI
25,ALS_FM,0,eligible_k,prediction_outside_scale,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,mse,183,0.8549525842080761,0.7427437152131317,0.9949291276818022,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,mae,183,0.7135567652252839,0.6662257315466442,0.7666165250853809,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,pa,167,0.5438527617880677,0.5104735770468664,0.5771178374001013,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,als_direct,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,0,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,mse,187,0.8882035178740281,0.7791918288701997,1.0162474695581813,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,mae,187,0.7433698881400468,0.6949926564890585,0.7949586961473765,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,pa,171,0.565872972549468,0.5313257786296113,0.598777334364211,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,als_direct,187,0.8388426545491552,0.8009323380644697,0.8744587882370438,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,actual_movie_support,187,0.8797538388426925,0.8534772795768318,0.9038548196193715,DESCRIPTIVE_CI
25,ALS_FM,1,eligible_k,prediction_outside_scale,187,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,mse,183,0.8926518743683522,0.7804744568041104,1.0260426846156439,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,mae,183,0.7444150762567725,0.6950347148113796,0.7979882031300111,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,pa,167,0.5660302400178334,0.5312716190047879,0.5998781101005127,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,als_direct,183,0.8353200896212678,0.7971538397931226,0.8715440223104914,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,1,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,mse,186,0.7365365325267841,0.6495912010838538,0.832339400741562,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,mae,186,0.6627289214013851,0.6186680485256789,0.7090833660394378,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,pa,170,0.5830817732403634,0.5485995727870466,0.6160608583271784,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,ALS_FM,5,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,mse,183,0.7400033843453263,0.6510916733173148,0.8405940676147838,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,mae,183,0.6639471804971225,0.6194787058557043,0.7124144084183313,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,pa,167,0.5854347977968357,0.5508683738854767,0.6184137601552953,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,5,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,mse,186,0.6911184917657563,0.6112254639465837,0.7752800909480749,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,mae,186,0.6392291304676441,0.596632793239523,0.6834915183863238,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,pa,170,0.5885215818669142,0.5539772858270432,0.6220705239785167,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,ALS_FM,10,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,10,common_k30,mse,183,0.6937021382877347,0.6115671083548876,0.7844856722953536,DESCRIPTIVE_CI
25,ALS_FM,10,common_k30,mae,183,0.6399690808934689,0.5967884743099079,0.6863715252533915,DESCRIPTIVE_CI
