role,k,activity,item_support,method,users,mse,mse_users,mse_low,mse_high,mae,mae_users,mae_low,mae_high,pair_accuracy,pair_accuracy_users,pair_accuracy_low,pair_accuracy_high,direct_rate,direct_rate_users,direct_rate_low,direct_rate_high,movies,rating_pairs,round_rating_instances,status,mse_status,mae_status,pair_accuracy_status,direct_rate_status
validation,0,30_99,0,FM,57,1.1870305306588664,57,1.020162651015872,1.353143880582962,0.8960979254807554,57,0.817448337380863,0.9758711874946319,0.5609908480162134,51,0.5025254747157125,0.6174908420444217,0.0,57,0.0,0.0,833,1391,3932,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,0,ALS_FM,57,1.1870305306588664,57,1.0225837991787026,1.353694922739649,0.8960979254807554,57,0.82143652392228,0.9695965941916744,0.5609908480162134,51,0.49969523078743455,0.6169160072805009,0.0,57,0.0,0.0,833,1391,3932,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,0,RIDGE,57,1.042283558100247,57,0.8725885469707488,1.2354314413608927,0.8362350207188342,57,0.7547767017520906,0.9191851826270002,0.5524490574330939,51,0.4911922189570828,0.6114886498876433,0.0,57,0.0,0.0,833,1391,3932,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,0,GBT,57,0.9828374011481035,57,0.8234436254673368,1.1598845958822477,0.7926135290852735,57,0.7133715917184773,0.8762329607103413,0.54894702766933,51,0.4916478530535209,0.6039902398778014,0.0,57,0.0,0.0,833,1391,3932,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,1_9,ALS,47,1.385580121165642,47,1.0151599623491139,1.8763276140856764,0.947121281795881,47,0.8034453224638382,1.0985003515717688,0.5,31,0.5,0.5,0.0,47,0.0,0.0,477,565,1218,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,1_9,FM,47,1.2719363228197806,47,0.9655936925025025,1.649268938166864,0.9098262433619849,47,0.7888899065679877,1.0365760230888823,0.5523775462216126,31,0.46385530602377134,0.6331880076475116,0.0,47,0.0,0.0,477,565,1218,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,1_9,ALS_FM,47,1.2719363228197806,47,0.9443811081465253,1.632079989261217,0.9098262433619849,47,0.7906808577540968,1.043251142604849,0.5523775462216126,31,0.4674055667777102,0.6344025318551988,0.0,47,0.0,0.0,477,565,1218,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,1_9,RIDGE,47,1.3696412442786428,47,1.0039892678416595,1.8370790412635956,0.9472427184144414,47,0.8037199651316465,1.0933543830738206,0.5230774431774706,31,0.4229163801253475,0.617597747624071,0.0,47,0.0,0.0,477,565,1218,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,1_9,GBT,47,1.3360251079209975,47,0.9698477178659592,1.7744487407936527,0.9249825078938897,47,0.7909294479717689,1.0726197014834342,0.5448536206336504,31,0.4643044372851922,0.6247906258621845,0.0,47,0.0,0.0,477,565,1218,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,10_49,ALS,54,1.0550461759065923,54,0.764709121441278,1.4714891576352014,0.8224787200132163,54,0.7237873760477986,0.9376386384810687,0.5,41,0.5,0.5,0.0,54,0.0,0.0,554,965,2374,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,10_49,FM,54,1.0248100159706384,54,0.7495425086914028,1.4579397327086319,0.7867254190689964,54,0.6784411981327916,0.9154668919538858,0.5724469524729318,41,0.5076063414040589,0.6380893668641989,0.0,54,0.0,0.0,554,965,2374,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,10_49,ALS_FM,54,1.0248100159706384,54,0.7508522651778767,1.464981282116942,0.7867254190689964,54,0.677703090814761,0.9107473568012106,0.5724469524729318,41,0.5045615533507697,0.6372137717691264,0.0,54,0.0,0.0,554,965,2374,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,10_49,RIDGE,54,1.0401101693171013,54,0.7711342900627112,1.459527377607829,0.8189733886714637,54,0.7224271225258037,0.9387978051278535,0.576597927764885,41,0.4948752966078407,0.6520845705097106,0.0,54,0.0,0.0,554,965,2374,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,10_49,GBT,54,0.9812230750386836,54,0.7153262395151204,1.3891872924203663,0.7738295353503554,54,0.67074792918271,0.9057974244620318,0.5797494322161594,41,0.5069359032817227,0.6494140256244366,0.0,54,0.0,0.0,554,965,2374,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,50_PLUS,ALS,56,1.1144908414617232,56,0.8343597719688145,1.5126917543254852,0.8493351784039076,56,0.754073358906418,0.9693695743903549,0.5,50,0.5,0.5,0.0,56,0.0,0.0,620,1885,5373,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,50_PLUS,FM,56,1.0786838719107585,56,0.8305556660154632,1.4973532338739275,0.8390707413445408,56,0.7487257186412261,0.9485746533371648,0.5700980656475219,50,0.5228316780070288,0.6169369878376176,0.0,56,0.0,0.0,620,1885,5373,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,50_PLUS,ALS_FM,56,1.0786838719107585,56,0.8264186677525672,1.4870666204376322,0.8390707413445408,56,0.7524791353634926,0.9423699301230064,0.5700980656475219,50,0.5229772207960564,0.6203574940451727,0.0,56,0.0,0.0,620,1885,5373,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,50_PLUS,RIDGE,56,1.1116976967211596,56,0.8441950360528029,1.5022813319126929,0.8535780368378675,56,0.7598756009707419,0.9634159060970598,0.5592898724898527,50,0.5153302306745958,0.6063921256748761,0.0,56,0.0,0.0,620,1885,5373,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,30_99,50_PLUS,GBT,56,1.0631728361569501,56,0.7659942123650421,1.5105675499529048,0.813295190419842,56,0.7237818154106005,0.9453295442805159,0.5924011408189243,50,0.5522999013324468,0.6337207077998982,0.0,56,0.0,0.0,620,1885,5373,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
validation,0,100_299,ALL,ALS,78,1.0593220756693242,78,0.8786580027041977,1.2659051007878377,0.8154848461216664,78,0.7485968569285434,0.8914302594728378,0.5,75,0.5,0.5,0.0,78,0.0,0.0,3074,7091,21273,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY
