role,k,method,metric,original_user_macro,observed_cell_equal_mean,adequate_cell_equal_mean,observed_cells,adequate_cells,intended_cells
evaluation,30,ALS_FM,pair_accuracy,0.5741220881956751,0.593504066633927,0.5820379512095699,12,8,24
evaluation,30,ALS_FM,direct_rate,0.5287082406083118,0.75,0.75,12,8,24
evaluation,30,FM,mse,0.9339198082968363,0.9056006500701734,0.9711459576226579,12,8,24
evaluation,30,FM,mae,0.7419737174812635,0.7280007784186676,0.7510352356812489,12,8,24
evaluation,30,FM,pair_accuracy,0.5667636629355995,0.5789104837685728,0.56499999679825,12,8,24
evaluation,30,FM,direct_rate,0.5287082406083118,0.75,0.75,12,8,24
evaluation,30,GBT,mse,0.8990801286680428,0.8671184887345088,0.9142584531261859,12,8,24
evaluation,30,GBT,mae,0.7155331212043099,0.7064250314099442,0.7169187191748259,12,8,24
evaluation,30,GBT,pair_accuracy,0.5671344397743702,0.5732689319528906,0.5707551555252759,12,8,24
evaluation,30,GBT,direct_rate,0.5287082406083118,0.75,0.75,12,8,24
evaluation,30,RIDGE,mse,1.0148191276015934,0.9736834360087064,1.032617607763596,12,8,24
evaluation,30,RIDGE,mae,0.7709079396508701,0.7598170294765798,0.7721354278789014,12,8,24
evaluation,30,RIDGE,pair_accuracy,0.5753454913890103,0.5806866615051692,0.5705608244098013,12,8,24
evaluation,30,RIDGE,direct_rate,0.5287082406083118,0.75,0.75,12,8,24
validation,0,ALS,mse,1.0029045529270957,1.0503254496435994,1.0503254496435994,12,12,24
validation,0,ALS,mae,0.7871949817431592,0.8047269592455871,0.8047269592455871,12,12,24
validation,0,ALS,pair_accuracy,0.5,0.5,0.5,12,12,24
validation,0,ALS,direct_rate,0.0,0.0,0.0,12,12,24
validation,0,ALS_FM,mse,1.042813773309357,1.0595331294304067,1.0595331294304067,12,12,24
validation,0,ALS_FM,mae,0.8077547920259828,0.8118233358505266,0.8118233358505266,12,12,24
validation,0,ALS_FM,pair_accuracy,0.564540126338206,0.5597438917679527,0.5597438917679527,12,12,24
