k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
1,OTHER_UNSUPPORTED,FM,275,1.077948675594444,0.8103573405779754,0.5623421530263703,238,7539,17115,28798
1,OTHER_UNSUPPORTED,GBT,275,1.015939529255306,0.7770072519907634,0.5390749648930336,238,7539,17115,28798
1,OTHER_UNSUPPORTED,RIDGE,275,1.0356492694693848,0.791094094754467,0.5750929240941726,238,7539,17115,28798
1,SAMPLE_UNSUPPORTED,ALS,252,1.0399033300639033,0.779811483565681,0.5,198,4456,7454,11791
1,SAMPLE_UNSUPPORTED,ALS_FM,252,1.163167344726907,0.8329504969251027,0.5345898695330832,198,4456,7454,11791
1,SAMPLE_UNSUPPORTED,FM,252,1.163167344726907,0.8329504969251027,0.5345898695330832,198,4456,7454,11791
1,SAMPLE_UNSUPPORTED,GBT,252,1.070873507237774,0.7888407767889583,0.5231061128743424,198,4456,7454,11791
1,SAMPLE_UNSUPPORTED,RIDGE,252,1.0795606630978936,0.7963766025380531,0.5451824836175209,198,4456,7454,11791
1,TRAIN_0,ALS,294,0.9764627310089393,0.7548516112292317,0.5,277,10431,26862,45401
1,TRAIN_0,ALS_FM,294,1.0685230229599767,0.8010197775931825,0.5610788963235068,277,10431,26862,45401
1,TRAIN_0,FM,294,1.0685230229599767,0.8010197775931825,0.5610788963235068,277,10431,26862,45401
1,TRAIN_0,GBT,294,0.981712462197664,0.7501381006246264,0.5535718433421878,277,10431,26862,45401
1,TRAIN_0,RIDGE,294,1.0088003723314332,0.7697478168086818,0.5653108232144455,277,10431,26862,45401
1,TRAIN_10_49,ALS,271,2.0280145677141235,1.1610411529546991,0.5866273273152891,244,1486,7395,11108
1,TRAIN_10_49,ALS_FM,271,0.9909289881018095,0.7679458300230587,0.6091749868802734,244,1486,7395,11108
1,TRAIN_10_49,FM,271,1.0017211485665578,0.7588286634866087,0.5963975190521127,244,1486,7395,11108
1,TRAIN_10_49,GBT,271,0.9476862436891156,0.7353054395992824,0.5959175311500114,244,1486,7395,11108
1,TRAIN_10_49,RIDGE,271,1.013546776104124,0.7688613335019913,0.6017219897833438,244,1486,7395,11108
1,TRAIN_1_9,ALS,264,2.4356465723252994,1.2700792254456639,0.5352868785624427,228,3510,9301,13422
1,TRAIN_1_9,ALS_FM,264,1.0701179091868227,0.8106631118103441,0.5503994421866617,228,3510,9301,13422
1,TRAIN_1_9,FM,264,1.0495891145954568,0.7851420171184074,0.5426981919990159,228,3510,9301,13422
1,TRAIN_1_9,GBT,264,0.9535528692992594,0.7323490766949643,0.5674204126857291,228,3510,9301,13422
1,TRAIN_1_9,RIDGE,264,0.9987479592519004,0.7520968543291608,0.5727018125195853,228,3510,9301,13422
1,TRAIN_50_PLUS,ALS,284,2.1239294854043282,1.1851503313710416,0.5430108436524035,251,863,7840,12164
1,TRAIN_50_PLUS,ALS_FM,284,1.0258233418332834,0.7853128615872442,0.5913462970213116,251,863,7840,12164
1,TRAIN_50_PLUS,FM,284,0.98499333739903,0.7487196037242779,0.5791993676794982,251,863,7840,12164
1,TRAIN_50_PLUS,GBT,284,0.8800488458673409,0.7068637077191149,0.5719244827391061,251,863,7840,12164
1,TRAIN_50_PLUS,RIDGE,284,0.9017150326391783,0.7279488792919544,0.5565837637691252,251,863,7840,12164
1,WITHHELD,ALS,286,0.9613545513553992,0.7339337469455842,0.5,259,2892,9747,16603
1,WITHHELD,ALS_FM,286,1.0346285669919006,0.7804627631178344,0.5623032178564468,259,2892,9747,16603
1,WITHHELD,FM,286,1.0346285669919006,0.7804627631178344,0.5623032178564468,259,2892,9747,16603
1,WITHHELD,GBT,286,0.9566215496878506,0.7254273471584215,0.5484560975292183,259,2892,9747,16603
1,WITHHELD,RIDGE,286,0.9921678237995823,0.7508029399463388,0.5504267441925795,259,2892,9747,16603
